date,close,compound_gn,negative_gn,neutral_gn,positive_gn,compound_tw,negative_tw,neutral_tw,positive_tw,open,high,low,volume
2008-02-18,0.5723238779312337,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5612106440602683,0.5647504043903719,0.5711977322466986,0.0021106546309837
2008-02-19,0.5569341116001909,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5732532138458459,0.5664617615845768,0.5618534509806882,0.0
2008-02-20,0.575978911023111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5407575103467743,0.5647504043903719,0.5513410452297854,0.0
2008-02-21,0.572516308489842,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.583384220066453,0.5780609312613586,0.5772325507887831,0.0
2008-02-22,0.5954085715632478,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5837664626110132,0.5818639763324205,0.5785953180245037,0.0
2008-02-25,0.6154153472374122,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5960001536688704,0.6046821595069714,0.5984520050414169,0.0
2008-02-26,0.6540821494881789,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6047931355624324,0.6427124357139498,0.6105217314522274,0.0086658164726783
2008-02-27,0.6673557975708202,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6407295482258001,0.6655306188885008,0.6432268052099048,0.0
2008-02-28,0.6746659520254729,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.658315424302381,0.6607768779885385,0.6588007264221103,0.0
2008-02-29,0.6454253342068623,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.658315424302381,0.6522200047656944,0.6492616237519896,0.0
2008-03-03,0.67004903095325,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6334657996421059,0.6607768779885385,0.6471202855129562,0.0
2008-03-04,0.64850334043561,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6630942455042645,0.6630586875808115,0.6482883206712076,0.0
2008-03-05,0.6767820702738747,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6544923848829828,0.6634389310116439,0.6611367967386127,0.0
2008-03-06,0.6300356561467174,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6621384637217793,0.6590654335425138,0.6393334142334944,0.0
2008-03-07,0.6127221138549825,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6195117540021005,0.614189728558716,0.6062388763208788,0.0
2008-03-10,0.5950237987169296,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6067046114168605,0.60182989751663,0.5916384368427373,0.0
2008-03-11,0.6406160708469293,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.616262166110085,0.6326344142641369,0.6194767272165815,0.0
2008-03-12,0.6281118801860256,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6392003149159321,0.6392897213255401,0.6278476160751687,0.0
2008-03-13,0.6356143769283881,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.608424965999008,0.6330146576949692,0.6091589642165071,0.0
2008-03-14,0.6240720742478304,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6430233543353304,0.635106432823646,0.6083803038865531,0.0
2008-03-17,0.5915611079127622,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5873983807581313,0.587378378597687,0.5772325507887831,0.0
2008-03-18,0.6194551531756074,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6028815719974621,0.6073442125300768,0.6091589642165071,0.0
2008-03-19,0.5617433749601238,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6200852055294831,0.6185632260278462,0.5634107716405958,0.0
2008-03-20,0.5655908386106092,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5554761287864421,0.5626586292616953,0.5585439882567624,0.0
2008-03-24,0.5704001902414403,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5656071350070493,0.5778708095459424,0.5756752301288754,0.0
2008-03-25,0.6069508742438052,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5703859562089328,0.599928418607009,0.5828781731558527,0.0
