date,close,compound_gn,negative_gn,neutral_gn,positive_gn,compound_tw,negative_tw,neutral_tw,positive_tw,open,high,low,volume
2008-02-18,0.4448783090969981,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4524088275355662,0.448244930558184,0.458790422623927,0.0099801399736834
2008-02-19,0.4477842271172076,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4479963857075509,0.4519256905922033,0.4617908885964426,0.0274117400270793
2008-02-20,0.4667635236724186,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4372805046268962,0.4574019165969104,0.4532583067805305,0.0237699179173397
2008-02-21,0.4649473162494688,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4704187324886336,0.4693419639306304,0.4736052546605523,0.0180892420771026
2008-02-22,0.4731202323321052,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4642052932950781,0.463865703679605,0.4687294885131202,0.0128983924003389
2008-02-25,0.4731202323321052,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4677172192647393,0.4678157767599638,0.4819503028821352,0.0113706142441884
2008-02-26,0.4731202323321052,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4642052932950781,0.4685339905452935,0.4800750027072189,0.0131397639135966
2008-02-27,0.471394819691729,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.465105809153432,0.4710476703013111,0.4842944191586866,0.0164165320416597
2008-02-28,0.4894660298561027,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.470058526145292,0.4811024578180178,0.4908579518867058,0.0182908390520583
2008-02-29,0.4545949789723129,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4740206928685465,0.4743693576889837,0.4693858382090846,0.0276127921453459
2008-03-03,0.4513258125392583,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4511481053338707,0.451476789853213,0.4561650238400696,0.0144179977061533
2008-03-04,0.4400653888712651,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4448446660812312,0.4465391899411851,0.4480075092128158,0.0160667340472772
2008-03-05,0.455593894786999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4416929121037439,0.4505790568678692,0.4594467723198912,0.0178674854046514
2008-03-06,0.4416091426639435,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4479963857075509,0.4488733504971884,0.4559774902457403,0.0152292893161776
2008-03-07,0.4306211379849464,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4317874781200239,0.4348684899001229,0.4412564428904675,0.0119274577804173
2008-03-10,0.4168180100683135,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4226924568820709,0.4213125300420475,0.4226910462723853,0.0155104353677374
2008-03-11,0.4371594708510556,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4218820097851362,0.4280456301710816,0.4338490268721548,0.0189550193560338
2008-03-12,0.4422448100657846,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4326879596272102,0.4428584299071658,0.4517580737942727,0.013072746540841
2008-03-13,0.4449691038795716,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.429896446344232,0.4424993230145009,0.4397562099042096,0.0161680773914441
2008-03-14,0.4567744348081077,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4505177614086068,0.4474369571728472,0.4505391590836964,0.0208358646467013
2008-03-17,0.4243552587491087,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4317874781200239,0.431367283312436,0.4307548119866623,0.0193936289907347
2008-03-18,0.4402470130776876,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4328680627988809,0.431816149805108,0.4406938421074798,0.0089329254172921
2008-03-19,0.4046494653682077,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4308869622616699,0.4300206495881019,0.4178152801249532,0.0162291013406198
2008-03-20,0.400744631533312,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3966681497210754,0.4026393825792934,0.4060009498292194,0.0116381388785214
2008-03-24,0.4254449693463685,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4048626551006744,0.4227489233663887,0.4219409118950684,0.0097196984763082
2008-03-25,0.4397021404584201,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4277352426353502,0.4362151236244569,0.4435068102540422,0.0075064906053085
2008-03-26,0.4623138172182554,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.464475465228168,0.4621599973089242,0.4723863041816003,0.0122952360455391
2008-03-27,0.4644932730540502,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4633048117878918,0.4653918908502715,0.4751992365597869,0.0169128964854019
2008-03-28,0.4649473162494688,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4597028170568112,0.459017863367584,0.4706985376010132,0.0078726343003631
2008-03-31,0.4713040249091554,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4560107879154791,0.4656612038966111,0.4756680884297978,0.0090451658952404
2008-04-01,0.4826552780009975,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4660062906606184,0.4749977776279881,0.4819503028821352,0.0109004029215215
2008-04-02,0.4767526125367294,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4778027907712978,0.4754466441206601,0.4858884010579212,0.0124761284663101
2008-04-03,0.4837449885982572,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4696082853916988,0.4792171637546864,0.4840131366513807,0.0112937894510296
2008-04-04,0.4895568246386763,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4768122405026923,0.4836161375740354,0.493764633177869,0.0133261049012583
2008-04-07,0.4886487382478391,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4885186718519526,0.5032768118684587,0.5004219505872407,0.0214025156033334
2008-04-08,0.4912822372790525,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4789734098604065,0.4925936044127476,0.4963900677301022,0.017298655021263
2008-04-09,0.4812931137734663,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.484916677120872,0.4842445575130398,0.4904828846980474,0.0155436716257706
2008-04-10,0.4777515283514156,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4736604865252048,0.4706885976549644,0.481012670678865,0.013669364615372
2008-04-11,0.4677624394871047,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4615038144223515,0.4689828570379655,0.4818565539691585,0.0085095717698852
